Disease_Name,Crop_Host(s),Min_Optimal_Temp,Max_Optimal_Temp,Min_Optimal_Humidity,Max_Optimal_Humidity,Min_Rainfall_mm,Max_Rainfall_mm,Min_Soil_Moisture,Max_Soil_Moisture,Soil_pH_Preference,Other_Factors
Bacterial Blight / Pustule (Xanthomonas axonopodis pv. vignicola),Cowpea;Bambara Groundnut,25,32,85,98,20,40,40,75,6.0-7.5,"Warm, humid weather; Rain splash; Wind-driven rain; Infected seed"
Root-Knot Nematodes (Meloidogyne spp.),Cowpea;Tomato;Many Crops,25,30,60,85,10,30,40,75,5.0-7.0,"Warm soil temperatures; Sandy soils often favor; Affect root system causing galls, poor growth"
Upright Dieback (Phomopsis vaccinii),Cranberry;Blueberry,22,28,85,95,15,30,40,70,4.0-5.5,"Moderate to warm temperatures; Wet weather; Plant stress (winter injury, drought, flooding); Wounds favor infection"
Fairy Ring (Various Basidiomycetes),Cranberry;Turfgrass,18,28,70,90,10,30,40,75,4.0-5.5,"Presence of fungal inoculum in soil/organic matter; Conditions favoring fungal growth (moisture, thatch)"
Leaf Spot (Phyllosticta vaccinii),Cranberry,18,24,85,95,15,30,45,75,4.0-5.5,"Moderate temperatures; Wet conditions; Rain splash; Overwinters on fallen leaves"
Powdery Mildew (Podosphaera xanthii / Golovinomyces cichoracearum),Cucumber;Squash;Melon;Pumpkin,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate to high humidity (but not free water); Poor air circulation; Reduced light; Affects leaves, stems"
Downy Mildew (Pseudoperonospora cubensis),Cucumber;Melon;Squash;Pumpkin,15,23,85,100,10,30,50,80,6.0-7.0,"High humidity; Leaf wetness essential (dew, rain); Cool nights, warm days; Wind dispersal (long distances)"
Angular Leaf Spot (Pseudomonas syringae pv. lachrymans),Cucumber;Melon;Squash,24,28,85,95,15,35,45,75,6.0-7.5,"Warm, humid conditions; Rain splash; Overhead irrigation; Infected seed/debris"
Anthracnose (Colletotrichum lagenarium/orbiculare),Cucumber;Watermelon;Melon;Squash,22,28,90,100,15,35,50,80,5.5-6.5,"Warm, humid, rainy weather; Rain splash; Infected seed or debris; Leaf wetness duration"
Gummy Stem Blight / Black Rot (Didymella bryoniae / Phoma cucurbitacearum),Cucumber;Melon;Squash;Watermelon,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; High humidity; Leaf wetness; Rain splash; Infected seed/debris; Wounds"
Fusarium Wilt (Fusarium oxysporum f.sp. cumini),Cumin,25,30,70,90,10,25,40,80,6.0-7.5,"Warm soil temperatures; Soilborne; Persists in soil; Poor drainage can exacerbate"
Alternaria Blight (Alternaria burnsii),Cumin,20,28,85,98,15,30,40,70,6.0-7.5,"Moderate temperatures; High humidity; Dew or rain; Leaf wetness; Seedborne/debris-borne"
Powdery Mildew (Erysiphe polygoni),Cumin;Pea;Bean,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation; Dense planting"
Sclerotinia Blight/Stem Rot (Sclerotinia sclerotiorum),Cumin;Mustard;Chickpea;Many Broadleaf Crops,15,24,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions; High humidity near soil surface; Dense canopy; Infected soil (sclerotia)"
Leaf Spot (Colletotrichum gloeosporioides; Cercospora spp.),Curry Leaf,24,30,85,95,15,35,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Dieback (Lasiodiplodia theobromae),Curry Leaf;Mango;Citrus,28,35,75,95,10,30,40,70,5.5-7.0,"Plant stress (drought, waterlogging); High temperatures; High humidity; Wounds"
Powdery Mildew (Oidium spp.),Curry Leaf,25,30,70,90,5,20,35,65,6.0-7.5,"Dry conditions with high relative humidity (dew); Affects leaves and young shoots"
Anthracnose (Colletotrichum gloeosporioides),Custard Apple (Annona);Mango;Avocado;Papaya,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Affects fruit (causing black spots/rot), flowers, leaves"
Diplodia Rot (Lasiodiplodia theobromae),Custard Apple (Annona);Mango;Avocado;Citrus,28,35,80,95,15,35,45,75,5.5-7.0,"High temperatures; High humidity; Often affects fruit near harvest or post-harvest; Enters through wounds/stem end"
Leaf Spot (Cylindrocladium spp. / Pseudocercospora spp.),Custard Apple (Annona),25,30,85,95,15,35,45,75,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Purple Blotch (Phytophthora nicotianae var. parasitica),Custard Apple (Annona),25,30,90,100,20,40,60,90,5.5-7.0,"Warm, wet conditions; High humidity; Affects fruit, causing purplish-brown lesions"
Bayoud Disease (Fusarium oxysporum f.sp. albedinis),Date Palm,18,28,60,85,5,20,30,70,6.5-8.0,"Moderate soil temperatures for infection; Soilborne; Spreads via contaminated soil, water, tools, offshoots; Major threat"
Black Scorch / Medjnoon (Thielaviopsis paradoxa / Ceratocystis paradoxa),Date Palm;Coconut;Pineapple,25,30,75,90,10,25,40,75,5.0-7.0,"Affects leaves, trunk, inflorescence, roots; Spread by wind, rain, insects; Enters through wounds"
Diplodia Disease (Lasiodiplodia theobromae),Date Palm;Mango;Citrus,28,35,75,95,10,30,40,70,5.5-7.0,"High temperatures; Plant stress; Wounds; Affects leaves, causes dieback of offshoots"
Khamedj Disease / Inflorescence Rot (Mauginiella scaettae),Date Palm,20,25,85,95,10,25,45,75,6.0-7.5,"Cooler temperatures; High humidity during pollination period; Affects male and female inflorescences"
Powdery Mildew (Erysiphe heraclei),Dill;Carrot;Parsley;Anise;Fennel,18,28,65,90,5,20,30,60,6.0-7.5,"Moderate temperatures; Moderate to high humidity (not free water); Poor air circulation; Low light intensity"
Cercospora Leaf Spot (Cercospora anethi),Dill,22,30,85,95,10,30,40,75,6.0-7.5,"Warm, humid conditions; Leaf wetness; Rain splash; Infected seed or crop residue; Poor air circulation"
Phoma Blight / Stem Spot (Phoma anethi),Dill,20,25,85,95,15,30,45,75,6.0-7.0,"Moderate temperatures; Wet conditions; Rain splash; Seedborne; Can cause damping-off"
Damping-off (Pythium spp.; Rhizoctonia solani),Dill;Many Seedlings,18,25,85,100,10,30,60,90,5.5-7.0,"Cool, wet soil; Poor drainage; High soil moisture; Infected soil/media; Overcrowding"
Anthracnose (Colletotrichum gloeosporioides/truncatum),Dragonfruit (Pitaya);Mango;Papaya,24,30,85,98,20,40,50,80,5.0-6.5,"Warm, humid conditions; Rain splash; Affects stems (cankers) and fruit (sunken lesions)"
Brown Spot / Stem Spot (Bipolaris cactivora / Drechslera cactivora),Dragonfruit (Pitaya);Cacti,25,30,80,95,15,35,45,75,5.5-7.0,"Warm, humid conditions; Affects stems and fruit causing spots"
Stem Rot (Fusarium spp.; Colletotrichum spp.),Dragonfruit (Pitaya),25,32,80,95,15,35,50,85,5.5-7.0,"Warm, humid conditions; Poor drainage; Wounds; Overwatering"
Cactus Virus X (Potexvirus),Dragonfruit (Pitaya);Cacti,20,30,50,80,5,25,30,60,5.5-7.5,"Mechanical transmission (tools, handling); No known insect vector"
Twig Canker / Dieback (Lasiodiplodia theobromae),Drumstick (Moringa);Mango;Cashew,28,35,75,95,10,30,40,70,5.5-7.5,"Plant stress (drought); High temperatures; High humidity; Wounds"
Powdery Mildew (Oidium spp. / Erysiphe polygoni),Drumstick (Moringa),25,30,70,90,5,20,35,65,6.0-7.5,"Dry conditions with high relative humidity (dew); Affects leaves, flowers, pods"
Root Rot (Fusarium solani; Pythium spp.; Rhizoctonia solani),Drumstick (Moringa),20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Waterlogged soil; Overwatering; Infected soil"
Leaf Spot (Cercospora moringae / Pseudocercospora moringae),Drumstick (Moringa),25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Patch Canker / Stem Rot (Phytophthora palmivora),Durian;Cacao;Papaya,22,28,95,100,30,60,60,90,5.0-6.5,"High humidity; Frequent rainfall; Waterlogged soil; Wounds on trunk/branches; Soilborne"
Anthracnose (Colletotrichum zibethinum/gloeosporioides),Durian;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Affects leaves, flowers, fruit (pre- and post-harvest rot)"
Leaf Spot / Blight (Rhizoctonia solani; Phomopsis durionis),Durian,25,30,85,95,15,35,50,80,5.5-7.0,"Warm, humid conditions; High humidity in canopy; Rain splash; Plant stress"
Fruit Rot (Lasiodiplodia theobromae; Geotrichum candidum),Durian,28,35,80,95,15,35,45,75,5.5-7.0,"High temperatures; High humidity; Affects ripening or harvested fruit; Enters through wounds/cracks"
Verticillium Wilt (Verticillium dahliae),Eggplant;Tomato;Potato;Pepper;Cotton (Wide Host Range),21,27,70,90,10,25,40,75,6.0-7.5,"Cooler soil temperatures favor infection, symptoms express in warmer weather; Soilborne microsclerotia (long survival)"
Fusarium Wilt (Fusarium oxysporum f.sp. melongenae),Eggplant,25,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Persists in soil; Acidic soils may favor"
Phomopsis Blight & Fruit Rot (Phomopsis vexans),Eggplant,28,32,85,95,15,35,45,75,5.5-7.0,"Warm, humid conditions; Rain splash; Seedborne; Overwinters on debris; Affects leaves, stems, fruit"
Bacterial Wilt (Ralstonia solanacearum),Eggplant;Tomato;Potato;Pepper;Tobacco (Wide Host Range),28,35,80,95,15,35,50,85,5.5-7.0,"High soil temperature and moisture; Soilborne; Persists in soil; Spreads via soil, water, tools, transplants"
Early Blight (Alternaria solani),Eggplant;Tomato;Potato,24,29,85,95,15,30,40,70,5.5-7.5,"Moderate to warm temperatures; High humidity; Leaf wetness (dew, rain); Plant stress; Overwinters on debris/seed"
Ascochyta Blight (Ascochyta fabae),Fava Bean (Broad Bean);Vetch,15,20,85,100,10,30,45,75,6.0-7.5,"Cool, cloudy, humid weather; Frequent light rain; Leaf wetness duration; Seedborne/stubble-borne; Wind/rain splash"
Chocolate Spot (Botrytis fabae / Botrytis cinerea),Fava Bean (Broad Bean);Other Vicia spp.,15,22,90,100,15,35,50,80,5.5-7.0,"Cool, damp conditions; High humidity; Dense canopy; Rain splash; Overwinters as sclerotia/mycelium"
Rust (Uromyces viciae-fabae),Fava Bean (Broad Bean);Lentil;Vetch,18,25,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for infection; Wind dispersal"
Bean Yellow Mosaic Virus (BYMV),Fava Bean (Broad Bean);Common Bean;Lupin;Clover,20,30,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Non-persistent transmission; Can be seedborne in some hosts"
Downy Mildew (Peronospora viciae),Fava Bean (Broad Bean);Pea;Vetch,10,18,90,100,10,25,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential; Systemic infection possible; Oospores in soil/seed"
Powdery Mildew (Erysiphe heraclei),Fennel;Carrot;Parsley;Dill;Anise,18,28,65,90,5,20,30,60,6.0-7.5,"Moderate temperatures; Moderate to high humidity (not free water); Poor air circulation"
Cercospora Leaf Blight (Cercospora foeniculi),Fennel,22,30,85,95,10,30,40,75,6.0-7.5,"Warm, humid conditions; Leaf wetness; Rain splash; Infected seed or crop residue"
Ramularia Leaf Spot (Ramularia foeniculi),Fennel,15,22,85,95,10,30,40,70,6.0-7.0,"Cool, wet weather; Leaf wetness; Overwinters on debris or volunteer plants"
Sclerotinia Rot / White Mold (Sclerotinia sclerotiorum),Fennel;Lettuce;Bean;Carrot;Many Broadleaf Crops,15,24,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions; High humidity near soil surface; Dense canopy; Infected soil (sclerotia); Affects base/crown"
Powdery Mildew (Erysiphe polygoni / Leveillula taurica),Fenugreek;Legumes,20,30,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; Moderate to high humidity (Erysiphe) or drier conditions (Leveillula); Poor air circulation"
Cercospora Leaf Spot (Cercospora traversiana),Fenugreek,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Downy Mildew (Peronospora trigonellae),Fenugreek,10,20,90,100,10,25,50,80,6.0-7.0,"Cool, moist conditions; High humidity; Leaf wetness essential for infection; Wind dispersal; Seedborne"
Root Rot Complex (Rhizoctonia solani; Fusarium spp.),Fenugreek;Many Legumes,20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Soil compaction; Plant stress; Infected soil or debris"
Fig Mosaic Disease (FMD - Emaravirus complex),Fig,20,30,50,80,5,25,30,65,6.0-8.0,"Vector presence (Fig mite - Aceria ficus); Spread via grafting infected material and mites"
Fig Rust (Cerotelium fici),Fig,20,28,85,95,10,30,40,70,6.0-8.0,"Warm, humid conditions; Requires free moisture (dew, rain) for infection; Wind dispersal"
Anthracnose / Fruit Rot (Colletotrichum gloeosporioides),Fig;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.5,"Warm, humid conditions; Rain splash; Affects fruit primarily, can cause leaf spots"
Root-Knot Nematodes (Meloidogyne spp.),Fig;Tomato;Many Crops,25,30,60,85,10,30,40,75,5.5-8.0,"Warm soil temperatures; Sandy soils often favor; Affect root system causing galls, poor growth"
Blast (Pyricularia grisea/oryzae),Finger Millet (Ragi);Rice;Barnyard Millet;Foxtail Millet,25,30,90,100,20,40,50,80,5.0-6.5,"High humidity; Leaf wetness (dew, rain); High nitrogen levels; Wind dispersal; Affects leaves, neck, fingers"
Foot Rot / Seedling Blight (Bipolaris nodulosa / Helminthosporium spp.),Finger Millet (Ragi),25,32,85,95,15,35,50,85,5.5-7.0,"Warm, humid conditions; High soil moisture; Seedborne/soilborne; Causes root/collar rot, leaf spots"
Smut (Melanopsichium eleusinis),Finger Millet (Ragi),20,30,60,85,10,25,35,70,5.5-7.5,"Moderate temperatures during flowering; Replaces individual grains with smut sori; Soilborne/seedborne"
Fusarium Wilt (Fusarium oxysporum f.sp. lini),Flax,25,30,70,90,10,25,40,80,5.0-6.5,"Warm soil temperatures; Soilborne; Persists in soil for years; Acidic soils may favor"
Pasmo (Septoria linicola),Flax,20,25,85,95,15,30,45,75,5.5-7.5,"Moderate temperatures; High humidity; Rain splash; Affects leaves, stems, bolls; Overwinters on stubble/seed"
Rust (Melampsora lini),Flax,18,25,90,100,10,25,40,70,6.0-7.5,"Moderate temperatures; Dew or light rain for infection; Wind dispersal; Overwinters on volunteer plants/debris"
Powdery Mildew (Oidium lini),Flax,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Blast (Pyricularia grisea/oryzae),Foxtail Millet;Rice;Finger Millet;Barnyard Millet,25,30,90,100,20,40,50,80,5.0-6.5,"High humidity; Leaf wetness (dew, rain); High nitrogen levels; Wind dispersal; Affects leaves, neck, panicles"
Rust (Uromyces setariae-italicae),Foxtail Millet,20,28,85,95,10,30,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew for infection; Wind dispersal of spores"
Smut (Ustilago crameri),Foxtail Millet,20,30,60,85,10,25,35,70,5.5-7.5,"Moderate temperatures during seedling stage (infection); Spores replace kernels (covered smut); Seedborne"
Downy Mildew / Green Ear (Sclerospora graminicola),Foxtail Millet;Pearl Millet,20,28,90,100,15,35,55,85,6.0-7.5,"High humidity; Moderate temperatures; Soilborne oospores; Can cause systemic infection (green ear)"
Leaf Spot (Phyllosticta spp.; Colletotrichum spp.),Galangal;Ginger;Turmeric,24,30,85,95,20,40,50,80,5.5-6.5,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Rhizome Rot (Fusarium spp.; Pythium spp.; Sclerotium rolfsii),Galangal;Ginger;Turmeric,25,35,80,95,15,35,55,90,5.5-7.0,"Poor drainage; Waterlogged soils; High temperatures (Fusarium, Sclerotium); Wounds on rhizomes; Infected planting material"
Bacterial Wilt (Ralstonia solanacearum),Galangal;Ginger;Tomato;Potato (Wide Host Range),28,35,80,95,15,35,50,85,5.5-7.0,"High soil temperature and moisture; Soilborne; Persists in soil; Spreads via soil, water, tools, infected rhizomes"
White Rot (Sclerotium cepivorum),Garlic;Onion;Chive;Leek,15,20,80,95,10,25,50,80,5.0-7.0,"Cool soil temperatures; Soilborne sclerotia (long survival); High soil moisture favors sclerotia germination; Very persistent"
Rust (Puccinia allii),Garlic;Onion;Leek;Chive,18,25,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for spore germination; Wind dispersal; Affects leaves"
Basal Rot (Fusarium oxysporum f.sp. cepae),Garlic;Onion,25,30,70,90,10,25,40,80,5.5-7.0,"Warm soil temperatures; Soilborne; Enters through roots or wounds in basal plate; Can cause storage rot"
Downy Mildew (Peronospora destructor),Garlic;Onion;Shallot;Chive,10,18,90,100,10,25,50,80,6.0-7.5,"Cool, moist conditions; High humidity; Leaf wetness essential (dew, rain); Wind dispersal; Systemic infection possible"
Rhizome Rot / Soft Rot (Pythium spp.; Fusarium spp.; Erwinia spp.),Ginger;Turmeric;Galangal,25,35,85,100,20,45,60,95,5.5-7.0,"Poor drainage; Waterlogged soils; High temperatures; Wounds on rhizomes; Infected planting material (seed rhizomes)"
Bacterial Wilt (Ralstonia solanacearum),Ginger;Tomato;Potato;Banana (Wide Host Range),28,35,80,95,15,35,50,85,5.5-7.0,"High soil temperature and moisture; Soilborne; Persists in soil; Spreads via soil, water, tools, infected rhizomes"
Leaf Spot (Phyllosticta zingiberi; Colletotrichum spp.),Ginger;Turmeric,24,30,85,95,15,35,50,80,5.5-6.5,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Root-Knot Nematodes (Meloidogyne spp.),Ginger;Tomato;Many Crops,25,30,60,85,10,30,40,75,5.0-7.0,"Warm soil temperatures; Sandy soils often favor; Cause galls on roots and rhizomes, reduce vigor"
American Gooseberry Mildew (Sphaerotheca mors-uvae),Gooseberry;Currant,18,26,70,95,10,25,40,70,5.5-7.0,"Moderate temperatures; High humidity; Affects leaves, shoots, fruit; Overwinters in infected buds/twigs"
Leaf Spot (Septoria ribis / Pseudopeziza ribis),Gooseberry;Currant,15,22,85,95,10,30,40,70,6.0-7.0,"Cool, wet weather in spring/early summer; Rain splash; Overwinters on fallen leaves"
Anthracnose (Drepanopeziza ribis / Gloeosporidiella ribis),Gooseberry;Currant,20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; Wet weather; Rain splash; Overwinters on fallen leaves; Causes leaf spots, defoliation"
Botrytis Dieback / Gray Mold (Botrytis cinerea),Gooseberry;Currant;Grape;Many Crops,18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Poor air circulation; Affects flowers, fruit, stems (dieback)"
Powdery Mildew (Erysiphe necator / Uncinula necator),Grape,22,28,70,90,5,20,30,60,5.5-7.5,"Moderate temperatures; High humidity (but not free water); Reduced light inside canopy; Overwinters in buds"
Downy Mildew (Plasmopara viticola),Grape,18,25,95,100,10,30,50,80,5.5-7.5,"Warm days, cool nights; High humidity; Leaf wetness essential (rain/dew > 2-3 hours); Overwinters as oospores"
Botrytis Bunch Rot / Gray Mold (Botrytis cinerea),Grape;Strawberry;Raspberry;Many Crops,15,23,90,100,15,35,50,80,5.5-7.5,"Cool to moderate temperatures; High humidity; Rain near harvest; Tight clusters; Berry injury; Overwinters as sclerotia/mycelium"
Black Rot (Guignardia bidwellii),Grape,20,30,85,95,15,35,45,75,5.0-7.5,"Warm, humid conditions; Requires leaf/fruit wetness for infection (rain); Overwinters in mummified fruit/cankers"
Pierce's Disease (Xylella fastidiosa),Grape;Almond;Oleander;Oak,25,32,60,85,10,30,30,60,5.5-8.0,"Vector presence (sharpshooter leafhoppers); Warm climates; Mild winters favor vector survival; Blocks xylem"
Early Leaf Spot (Cercospora arachidicola),Groundnut (Peanut),25,30,90,100,15,35,50,80,5.5-7.0,"Warm temperatures; High humidity; Long periods of leaf wetness (10+ hours); Overwinters on debris"
Late Leaf Spot (Nothopassalora personata / Cercosporidium personatum),Groundnut (Peanut),20,26,90,100,15,35,50,80,5.5-7.0,"Slightly cooler than Early Leaf Spot; High humidity; Long periods of leaf wetness; Overwinters on debris; More destructive"
Stem Rot / Southern Blight / White Mold (Sclerotium rolfsii),Groundnut (Peanut);Tomato;Chickpea;Many Crops,25,35,85,95,15,30,50,85,5.0-7.0,"High temperature; High soil moisture alternating with dry periods; Soilborne sclerotia; Affects stem at soil line, pegs, pods"
Rust (Puccinia arachidis),Groundnut (Peanut),20,30,90,100,10,25,45,75,5.5-7.0,"Warm temperatures; High humidity/dew essential for infection; Wind dispersal; Does not require alternate host"
Aflatoxin Contamination (Aspergillus flavus / A. parasiticus),Groundnut (Peanut);Corn;Cottonseed,28,35,85,95,5,20,30,60,5.5-7.5,"High temperatures; Drought stress (pre-harvest); High humidity during storage; Insect damage to pods"
Anthracnose (Colletotrichum psidii / gloeosporioides),Guava;Mango;Avocado,24,30,85,98,20,40,50,80,5.0-6.5,"Warm, humid conditions; Rain splash; Affects fruit (spots, rot), twigs (dieback), leaves, flowers"
Wilt (Fusarium oxysporum f.sp. psidii; F. solani),Guava,22,28,70,90,10,30,40,80,4.5-6.0,"Moderate to warm soil temperatures; Soilborne; Poor drainage; Nematode interaction may increase severity"
Fruit Rot (Botryodiplodia theobromae; Phytophthora nicotianae; Rhizopus stolonifer),Guava,25,32,90,100,15,35,55,85,5.0-6.5,"High humidity; Rain; Fruit injury (insects, handling); Affects ripening or stored fruit"
Algal Leaf Spot / Red Rust (Cephaleuros virescens),Guava;Mango;Citrus;Litchi,25,30,90,100,20,40,50,85,4.5-6.5,"High humidity; High rainfall; Poor air circulation; Parasitic alga"
Eastern Filbert Blight (Anisogramma anomala),Hazelnut (American hazel resistant),20,25,85,95,15,35,45,75,5.5-7.0,"Moderate temperatures; Wet conditions during budbreak/shoot expansion (ascospore release); Wind/rain dispersal"
Bacterial Blight (Xanthomonas arboricola pv. corylina),Hazelnut,15,25,85,95,15,35,45,75,6.0-7.0,"Cool, wet spring weather; Rain splash; Wind; Enters through wounds, buds, leaf scars"
Powdery Mildew (Phyllactinia guttata; Erysiphe corylacearum),Hazelnut,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation"
Powdery Mildew (Golovinomyces spp.; Podosphaera spp.),Hemp;Cucumber;Many Plants,20,28,70,95,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (but often not free water); Poor air circulation; Dense canopy"
Gray Mold (Botrytis cinerea),Hemp;Grape;Strawberry;Many Crops,18,24,90,100,15,35,50,80,5.5-7.0,"Cool, moist conditions; High humidity; Poor air circulation; Affects dense flowers (buds) especially"
Hemp Canker / White Mold (Sclerotinia sclerotiorum),Hemp;Canola;Soybean;Many Broadleaf Crops,15,24,90,100,20,40,60,90,5.5-7.0,"Cool, moist conditions during flowering; High humidity near soil surface; Dense canopy; Infected soil (sclerotia)"
Leaf Spot (Septoria spp.; Bipolaris spp.),Hemp,20,28,85,95,10,30,40,70,6.0-7.5,"Moderate temperatures; Wet weather; High humidity; Rain splash; Overwinters on debris"
Root Rot (Pythium spp.; Fusarium spp.),Hemp;Many Crops,20,30,75,95,15,35,50,85,5.5-7.0,"Poor drainage; Overwatering; Soil compaction; Infected soil/media"
Powdery Mildew (Erysiphe polygoni),Horse Gram;Other Legumes,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation; Dense canopy"
Leaf Spot (Cercospora spp.),Horse Gram;Other Legumes,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; High humidity; Rain splash; Dew; Infected seed or debris"
Root Rot Complex (Rhizoctonia solani; Fusarium spp.; Macrophomina phaseolina),Horse Gram;Other Legumes,25,35,70,90,10,30,40,80,5.5-7.0,"High temperatures (Macrophomina); Poor drainage; Plant stress (drought); Infected soil/debris"
Yellow Mosaic Virus (MYMV - Mungbean Yellow Mosaic Virus),Horse Gram;Mung Bean;Black Gram;Soybean,25,32,60,85,10,30,35,70,6.0-7.5,"Vector presence (Whitefly - Bemisia tabaci); Warm temperatures favor vector; Infected source plants"
Anthracnose (Colletotrichum lindemuthianum/truncatum),Hyacinth Bean (Lablab);Common Bean;Soybean,18,26,90,100,15,30,40,75,5.5-7.0,"Cool to moderate temperatures; Wet conditions; Rain splash; Infected seed; Dense canopy; High humidity"
Rust (Uromyces appendiculatus / U. vignae),Hyacinth Bean (Lablab);Common Bean;Cowpea,20,28,85,95,10,25,40,70,6.0-7.5,"Moderate temperatures; High humidity or dew required for infection; Wind dispersal"
Powdery Mildew (Erysiphe polygoni),Hyacinth Bean (Lablab);Pea;Bean;Clover,20,28,60,90,5,20,30,60,6.0-7.5,"Moderate temperatures; High humidity (not free water); Poor air circulation; Dense canopy"
Bean Common Mosaic Virus (BCMV),Hyacinth Bean (Lablab);Common Bean;Adzuki Bean,20,30,50,80,5,25,30,65,6.0-7.5,"Aphid vector presence; Infected seed; Temperature influencing aphid activity/virus replication"
Rhizopus Fruit Rot (Rhizopus artocarpi / stolonifer),Jackfruit,25,30,90,100,15,35,55,85,5.0-6.5,"Warm, humid conditions; Affects mature fruit, especially those with wounds or near the ground; Spreads rapidly"
Pink Disease (Corticium salmonicolor / Erythricium salmonicolor),Jackfruit;Mango;Citrus;Rubber,25,30,90,100,25,50,55,85,5.0-6.5,"High humidity; High rainfall (monsoon); Affects bark of branches, causing dieback; Forms pink crust"
Anthracnose (Colletotrichum gloeosporioides),Jackfruit;Mango;Avocado,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Affects leaves, flowers, young fruit (dieback/rot)"
Leaf Spot (Phomopsis artocarpina; Septoria artocarpi),Jackfruit,22,28,85,95,15,30,45,75,5.5-7.0,"Moderate temperatures; High humidity; Rain splash; Poor air circulation"
Stem Rot / Root Rot (Macrophomina phaseolina),Jute;Soybean;Sunflower;Many Crops,30,35,70,90,10,25,40,70,5.5-7.5,"High soil temperatures; Drought stress often predisposes; Soilborne sclerotia (long survival)"
Anthracnose (Colletotrichum corchorum / gloeosporioides),Jute,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Seedborne; Affects stems, leaves, pods"
Black Band (Botryodiplodia theobromae / Lasiodiplodia theobromae),Jute,28,35,80,95,15,30,45,75,5.5-7.0,"High temperatures; High humidity; Plant stress; Affects stems, causing black bands and shredding"
Seedling Blight / Damping-off (Pythium spp.; Rhizoctonia solani),Jute,20,28,85,100,15,35,60,90,5.5-7.0,"High moisture; Poor drainage; Infected soil; Affects germination and young seedlings"
Anthracnose (Colletotrichum hibisci / truncatum),Kenaf;Okra;Hibiscus,24,30,85,98,20,40,50,80,5.5-7.0,"Warm, humid conditions; Rain splash; Seedborne; Affects stems (lesions), leaves"
Stem Rot / Charcoal Rot (Macrophomina phaseolina),Kenaf;Jute;Soybean;Sunflower;Many Crops,30,35,70,90,10,25,40,70,5.5-7.5,"High soil temperatures; Drought stress often predisposes; Soilborne sclerotia (long survival)"
Root-Knot Nematodes (Meloidogyne spp.),Kenaf;Tomato;Cotton;Many Crops,25,30,60,85,10,30,40,75,5.0-7.0,"Warm soil temperatures; Sandy soils often favor; Affect root system causing galls, poor growth"
Leaf Spot (Cercospora spp.; Alternaria spp.),Kenaf,25,30,85,95,15,35,40,75,5.5-7.0,"Warm, humid conditions; Rain splash; Leaf wetness; Poor air circulation"
Anthracnose (Colletotrichum lindemuthianum),Kidney Bean;Common Bean;Lima Bean,18,26,90,100,15,30,40,75,5.5-7.0,"Cool to moderate temperatures; Wet conditions; Rain splash; Infected seed; Dense canopy; High humidity"
Common Bacterial Blight (Xanthomonas axonopodis pv. phaseoli),Kidney Bean;Common Bean;Adzuki Bean,25,32,85,98,20,40,40,75,6.0-7.5,"Warm, humid weather; Rain splash; Wind-driven rain; Overhead irrigation; Infected seed"
